Region,Avg Rainfall (mm),Solar Radiation Impact (BTU/sqft)
Andaman and Nicobar Islands,3000.0,30.0
Andhra Pradesh,900.0,20.0
Arunachal Pradesh,2500.0,15.0
Assam,2200.0,18.0
Bihar,1100.0,22.0
Chandigarh,700.0,22.0
Chhattisgarh,1300.0,25.0
Dadra and Nagar Haveli,1800.0,25.0
Daman and Diu,800.0,27.0
Delhi,700.0,24.0
Goa,3000.0,28.0
Gujarat,800.0,30.0
Haryana,700.0,24.0
Himachal Pradesh,1200.0,16.0
Jammu & Kashmir,900.0,20.0
Jharkhand,1000.0,21.0
Karnataka,900.0,23.0
Kerala,3000.0,19.0
Ladakh,200.0,12.0
Lakshadweep,1500.0,32.0
Madhya Pradesh,1000.0,27.0
Maharashtra,900.0,26.0
Manipur,1800.0,17.0
Meghalaya,2500.0,15.0
Mizoram,2200.0,14.0
Nagaland,1800.0,16.0
Odisha,1500.0,25.0
Puducherry,1200.0,26.0
Punjab,600.0,23.0
Rajasthan,400.0,35.0
Sikkim,2000.0,17.0
Tamil Nadu,950.0,27.0
Telangana,800.0,28.0
Tripura,2000.0,16.0
Uttar Pradesh,800.0,22.0
Uttarakhand,1100.0,18.0
West Bengal,1500.0,20.0
